"Compound ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL3911567";"";"";"Small molecule";"";"361.39";"2";"2";"2.73";"44.81";"4";"1";"0";"5";"N";"0.89";"2";"MOL";"-1";"26";"-2.03";"C19H21F2N3O2";"COc1ccc(N2CCN(C(=O)CNc3ccc(F)c(F)c3)CC2)cc1";"PANAJRFJGIRCSR-UHFFFAOYSA-N";"InChI=1S/C19H21F2N3O2/c1-26-16-5-3-15(4-6-16)23-8-10-24(11-9-23)19(25)13-22-14-2-7-17(20)18(21)12-14/h2-7,12,22H,8-11,13H2,1H3";"False";"-1";"['BDBM244058']";"['US9428478, TG6-158']"
"CHEMBL3331613";"";"";"Small molecule";"";"335.22";"2";"4";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"C14H12N2O3Se";"CCOc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N";"AIVRMJQFXVTQFW-UHFFFAOYSA-N";"InChI=1S/C14H12N2O3Se/c1-3-19-11-5-4-9(6-10(11)7-15)13-16-8(2)12(20-13)14(17)18/h4-6H,3H2,1-2H3,(H,17,18)";"False";"-1";"['9a', 'BDBM50057019']";"['2-(3-cyano-4-ethoxypheny)-4-methyl-1,3-selenazole-5-carboxylicacid', 'CHEMBL3331613::US9802907, Compound 6']"
"CHEMBL3928588";"";"";"Small molecule";"";"363.46";"1";"1";"3.70";"48.57";"3";"1";"0";"4";"N";"0.77";"3";"MOL";"-1";"27";"-1.35";"C22H25N3O2";"CCc1ccc2[nH]c(C(=O)N3CCN(c4ccc(OC)cc4)CC3)cc2c1";"SDWNCWSMTGLISE-UHFFFAOYSA-N";"InChI=1S/C22H25N3O2/c1-3-16-4-9-20-17(14-16)15-21(23-20)22(26)25-12-10-24(11-13-25)18-5-7-19(27-2)8-6-18/h4-9,14-15,23H,3,10-13H2,1-2H3";"False";"-1";"['BDBM244078']";"['US9428478, TG6-202']"
"CHEMBL5172230";"";"";"";"";"328.15";"1";"2";"2.29";"98.59";"5";"1";"0";"2";"N";"0.51";"1";"MOL";"-1";"18";"-1.71";"C10H6BrN3O3S";"NC1=NC(=O)/C(=C/c2ccc(Br)c([N+](=O)[O-])c2)S1";"QMZMFQSCRVRMSU-YWEYNIOJSA-N";"InChI=1S/C10H6BrN3O3S/c11-6-2-1-5(3-7(6)14(16)17)4-8-9(15)13-10(12)18-8/h1-4H,(H2,12,13,15)/b8-4-";"False";"-1";"['XO-23']";"['(Z)-2-amino-5-(4-bromo-3-nitrobenzylidene)thiazol-4(5H)-one']"
"CHEMBL5198298";"";"";"";"";"293.74";"1";"1";"1.90";"84.55";"4";"2";"0";"0";"N";"0.72";"1";"MOL";"-1";"19";"-0.77";"C12H8ClN3O2S";"Cc1ccc(Cl)c2c1NC(=O)/C2=C1/SC(N)=NC1=O";"ZQMNZBJRGKSDFX-VQHVLOKHSA-N";"InChI=1S/C12H8ClN3O2S/c1-4-2-3-5(13)6-7(10(17)15-8(4)6)9-11(18)16-12(14)19-9/h2-3H,1H3,(H,15,17)(H2,14,16,18)/b9-7+";"False";"-1";"['XO-38']";"['2-amino-5-(4-chloro-7-methyl-2-oxoindolin-3-ylidene)thiazol-4(5H)-one']"
"CHEMBL3414622";"";"";"Small molecule";"";"499.53";"125";"228";"3.00";"78.51";"4";"2";"0";"6";"N";"0.60";"2";"MOL";"-1";"34";"-1.34";"C23H25F4N3O3S";"O=C([C@@H](Cc1cccc(C(F)(F)F)c1)NS(=O)(=O)c1cc(F)c2c(c1)CCNC2)N1CCCC1";"JCKGSPAAPQRPBW-OAQYLSRUSA-N";"InChI=1S/C23H25F4N3O3S/c24-20-13-18(12-16-6-7-28-14-19(16)20)34(32,33)29-21(22(31)30-8-1-2-9-30)11-15-4-3-5-17(10-15)23(25,26)27/h3-5,10,12-13,21,28-29H,1-2,6-9,11,14H2/t21-/m1/s1";"False";"-1";"['PFI-2', '(R)-PFI-2', '(R)-PFI-2', '24, (R)-PFI-2', 'PFI-2', '(R)-PFI-2', 'Chemical Probe: PFI-2']";"['PFI-2', '8-fluoro-N-[(1R)-2-oxo-2-pyrrolidin-1-yl-1-[[3-(trifluoromethyl)phenyl]methyl]ethyl]-1,2,3,4-tetrahydroisoquinoline-6-sulfonamide', '(R)-8-fluoro-N-(1-oxo-1-(pyrrolidin-1-yl)-3-(3-(trifluoromethyl)phenyl)propan-2-yl)-1,2,3,4-tetrahydroisoquinoline-6-sulfonamide', '(R)-8-fluoro-N-(1-oxo-1-(pyrrolidin-1-yl)-3-(3-(trifluoromethyl)phenyl)propan-2-yl)-1,2,3,4-tetrahydroisoquinoline-6-sulfonamide', 'PFI-2', '(R)-PFI-2', 'PFI-2']"
"CHEMBL2205502";"";"";"Small molecule";"";"277.33";"1";"1";"3.02";"72.03";"4";"2";"0";"3";"N";"0.77";"3";"MOL";"-1";"21";"-0.64";"C17H15N3O";"Nc1nc(O)cc(-c2ccc(Cc3ccccc3)cc2)n1";"CNUBSOUNCANXPK-UHFFFAOYSA-N";"InChI=1S/C17H15N3O/c18-17-19-15(11-16(21)20-17)14-8-6-13(7-9-14)10-12-4-2-1-3-5-12/h1-9,11H,10H2,(H3,18,19,20,21)";"False";"-1";"['11']";"['2-amino-6-(4-benzylphenyl)pyrimidin-4-ol']"
"CHEMBL5436044";"";"";"";"";"397.29";"2";"4";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"C19H14N2O3Se";"COc1ccccc1-c1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N";"QFIRBTHRBCNMLO-UHFFFAOYSA-N";"InChI=1S/C19H14N2O3Se/c1-11-17(19(22)23)25-18(21-11)12-7-8-14(13(9-12)10-20)15-5-3-4-6-16(15)24-2/h3-9H,1-2H3,(H,22,23)";"False";"-1";"['91', 'BDBM352045']";"["2-(2-cyano-2'-methoxy-[1,1'-biphenyl]-4-yl)-4-methyl-1,3-selenazole-5-carboxylic acid", 'US9802907, Compound 24']"
"CHEMBL5886710";"";"";"";"";"427.32";"1";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"C20H16N2O4Se";"COc1ccc(-c2ccc(-c3nc(C)c(C(=O)O)[se]3)cc2C#N)c(OC)c1";"KHIAPBGXFGLAFR-UHFFFAOYSA-N";"InChI=1S/C20H16N2O4Se/c1-11-18(20(23)24)27-19(22-11)12-4-6-15(13(8-12)10-21)16-7-5-14(25-2)9-17(16)26-3/h4-9H,1-3H3,(H,23,24)";"False";"-1";"['BDBM352046']";"['US9802907, Compound 25']"
"CHEMBL2420122";"";"";"Small molecule";"";"452.50";"2";"3";"2.93";"128.10";"9";"2";"0";"8";"N";"0.39";"4";"MOL";"-1";"32";"-1.92";"C21H20N6O4S";"CCOC(=O)Cn1ncc2c(Nc3ccc(NS(=O)(=O)c4ccccc4)cc3)ncnc21";"LJXZQADSKWVQLB-UHFFFAOYSA-N";"InChI=1S/C21H20N6O4S/c1-2-31-19(28)13-27-21-18(12-24-27)20(22-14-23-21)25-15-8-10-16(11-9-15)26-32(29,30)17-6-4-3-5-7-17/h3-12,14,26H,2,13H2,1H3,(H,22,23,25)";"False";"-1";"['5c']";"['Ethyl 2-(4-((4-(phenylsulfonamido)phenyl)amino)-1Hpyrazolo[3,4-d]pyrimidin-1-yl)acetate']"
